title,content,sentiment,department,website_link
"Revival of Vikram, Pragyan automatic"": ISRO scientist on waking up Chandrayaan-3","As Indian Space Research Organisation (ISRO) preps to revive Chandrayaan-3's Vikram lander and rover from 'sleep mode' after almost two weeks, Nilesh M Desai, Director, Space Applications Centre (SAC) on Friday said that the 'revival' of the lander and the rover is ""automatic"" and cannot be nudged from the Earth.

The Director of the Space Applications Centre, one of the major centres of the Indian Space Research Organisation (ISRO), said that signals will come as soon as the solar-powered lander and rover are charged because of the sunrise, which happened in the lunar surface on September 22.",0,Technology,https://government.economictimes.indiatimes.com/news/technology/revival-of-vikram-pragyan-automatic-isro-scientist-on-waking-up-chandrayaan-3/103878470
"Chandrayaan-3's success to have big impact on India's industrial, tech ecosystem: FinMin","Nirmala Sitharaman, Union Finance Minister, during her address in the Rajya Sabha on September 20 said that the success of Chandrayaan-3 will have a big impact on India's industrial and technological ecosystem. She briefed the House about the Chandrayaan-3 mission of the Indian Space Research Organisation (ISRO).",1,Technology,https://government.economictimes.indiatimes.com/news/technology/chandrayaan-3s-success-to-have-big-impact-on-indias-industrial-tech-ecosystem-finmin/103814322
"Chandrayaan-3's success to have big impact on India's industrial, tech ecosystem: FinMin","Nirmala Sitharaman, Union Finance Minister, during her address in the Rajya Sabha on September 20 said that the success of Chandrayaan-3 will have a big impact on India's industrial and technological ecosystem. She briefed the House about the Chandrayaan-3 mission of the Indian Space Research Organisation (ISRO).",1,Finance,https://government.economictimes.indiatimes.com/news/technology/chandrayaan-3s-success-to-have-big-impact-on-indias-industrial-tech-ecosystem-finmin/103814322
Large banks continue to be bullish on personal loans,Large banks continue to be upbeat on growing their unsecured retail personal loan books at a time when both analysts and the Reserve Bank of India (RBI) have sounded caution about their aggressive growth in the segment. Senior bankers believe that their strong underwriting norms and proactive actions gives them confidence of being able to contain the non-performing assets in this category.,-1,Finance,https://www.financialexpress.com/business/banking-finance-large-banks-continue-to-be-bullish-on-personal-loans-3254540/
India-Canada row: Experts warn new IT deals to be hit,"With India last week suspending visa services for Canadian citizens, IT experts cautioned that the development will impact the ability of Indian IT services companies to secure new deals. They also say that if the row escalates further, public sector clients will look for alternative nearshore options.",-1,Technology,https://www.financialexpress.com/business/industry-india-canada-row-experts-warn-new-it-deals-to-be-hit-3254554/
JPMorgan M&A head sees up to $150 billion funds focused on India,"Investors have about $2 trillion of funds available to invest, and about $100 billion to $150 billion of that is focused on India, according to Anu Aiyengar, JPMorgan Chase & Co.�s global head of mergers and acquisitions.",1,Finance,https://economictimes.indiatimes.com/news/economy/finance/jpmorgan-ma-head-sees-up-to-150-billion-funds-focused-on-india/articleshow/103921522.cms
"India sees robust surge in investments, marking 127% YoY growth in August 2023: PE/VC report","Investments in India reached $5.2 billion in August 2023, marking an 18% increase from the previous month and a 127% increase from the same period in 2022. However, the number of deals declined by 27% compared to last year. The infrastructure sector saw the highest investment, with Adani Power Limited receiving $1.8 billion from GQG Partners Inc.",1,Finance,https://economictimes.indiatimes.com/news/economy/finance/india-sees-robust-surge-in-investments-marking-127-yoy-growth-in-august-2023-pe/vc-report/articleshow/103866577.cms
No systemic risk build-up seen in India's bank credit: RBI Deputy Guv Michael Patra,"Reserve Bank of India Deputy Governor, Michael Patra, stated that India is on track to become a $5 trillion economy by 2027 and there are currently no signs of overheating. Patra mentioned that bank credit is being closely monitored as an indicator of overheating, and current rates of credit expansion do not indicate any systemic stress.",0,Finance,https://economictimes.indiatimes.com/news/economy/finance/no-systemic-risk-build-up-seen-in-indias-bank-credit-rbi-deputy-guv-michael-patra/articleshow/103840031.cms
Centres sells 18.09 lakh ton of wheat in 13 e-auctions under OMSS to cool down prices,"The government on Friday said it has sold 18.09 lakh tonne of wheat from the central pool to bulk users in 13 e-auctions under the open market sale scheme (OMSS), helping cool down the prices of wheat and wheat flour. The government on August 9 announced it would sell an additional 50 lakh tonne of wheat and 25 lakh tonne of rice under the OMSS to bulk users.",1,Agriculture,https://economictimes.indiatimes.com/news/economy/agriculture/centres-sells-18-09-lakh-ton-of-wheat-in-13-e-auctions-under-omss-to-cool-down-prices/articleshow/103864666.cms
Groundnut prices increase 20% as rains delay new crop,"Groundnut prices have increased by about 20% in a month as the arrival of new kharif crops will be delayed due to heavy rainfall in Gujarat, the top producer of groundnut in the country.

The average retail prices for the average quality peanuts are ruling around Rs 160/kg to 180/kg in different parts of the country.",0,Agriculture,https://economictimes.indiatimes.com/news/economy/agriculture/groundnut-prices-increase-20-as-rains-delay-new-crop/articleshow/103853324.cms
